"Species","Sex","Pop","Ages","lx","px","qx","Lx","Tx","ex"
"Loxodonta africana","Female","ZIMS_1960-1990",32,0.370294124191571,0.956521739130435,0.0434782608695652,0.370294124191571,2.54096442877167,6.86201660455488
"Loxodonta africana","Female","ZIMS_1960-1990",33,0.354194379661503,0.952380952380952,0.0476190476190477,0.354194379661503,2.1706703045801,6.12847190476192
"Loxodonta africana","Female","ZIMS_1960-1990",34,0.337327980630003,0.888888888888889,0.111111111111111,0.320278768573445,1.81647592491859,5.38489550000001
"Loxodonta africana","Female","ZIMS_1960-1990",35,0.299847093893336,0.928571428571428,0.0714285714285715,0.299847093893336,1.49619715634515,4.98986712500001
"Loxodonta africana","Female","ZIMS_1960-1990",36,0.278429444329526,0.673076923076923,0.326923076923077,0.259817287327672,1.19635006245181,4.29677998076925
"Loxodonta africana","Female","ZIMS_1960-1990",37,0.187404433683335,0.714285714285714,0.285714285714286,0.160142978436039,0.936532775124141,4.99738857142857
"Loxodonta africana","Female","ZIMS_1960-1990",38,0.133860309773811,0.8,0.2,0.133860309773811,0.776389796688101,5.8
"Loxodonta africana","Female","ZIMS_1960-1990",39,0.107088247819048,1,0,0.107088247819048,0.642529486914291,6
"Loxodonta africana","Female","ZIMS_1960-1990",40,0.107088247819048,1,0,0.107088247819048,0.535441239095242,5
"Loxodonta africana","Female","ZIMS_1960-1990",41,0.107088247819048,1,0,0.107088247819048,0.428352991276194,4
"Loxodonta africana","Female","ZIMS_1960-1990",42,0.107088247819048,1,0,0.107088247819048,0.321264743457145,3
"Loxodonta africana","Female","ZIMS_1960-1990",43,0.107088247819048,1,0,0.107088247819048,0.214176495638097,2
"Loxodonta africana","Female","ZIMS_1960-1990",44,0.107088247819048,0,1,0.107088247819048,0.107088247819048,1
"Loxodonta africana","Female","ZIMS_1990-2020",0,1,0.850307731807516,0.149692268192484,0.98848521013904,30.6816724047308,30.6816724047308
"Loxodonta africana","Female","ZIMS_1990-2020",1,0.850307731807516,0.986486486486487,0.0135135135135135,0.850307731807516,29.6931871945918,34.9205188708238
"Loxodonta africana","Female","ZIMS_1990-2020",2,0.83881708678309,0.988235294117647,0.0117647058823529,0.83881708678309,28.8428794627843,34.3851835128899
"Loxodonta africana","Female","ZIMS_1990-2020",3,0.828948650467995,0.989247311827957,0.0107526881720431,0.828948650467995,28.0040623760012,33.7826261737577
"Loxodonta africana","Female","ZIMS_1990-2020",4,0.820035224118877,1,0,0.820035224118877,27.1751137255332,33.1389590669507
"Loxodonta africana","Female","ZIMS_1990-2020",5,0.820035224118877,1,0,0.820035224118877,26.3550785014143,32.1389590669507
"Loxodonta africana","Female","ZIMS_1990-2020",6,0.820035224118877,0.986342516543859,0.013657483456141,0.814090041560773,25.5350432772954,31.1389590669507
"Loxodonta africana","Female","ZIMS_1990-2020",7,0.808835606612021,0.981567843659782,0.0184321563402177,0.801933409130536,24.7209532357347,30.5636312665359
"Loxodonta africana","Female","ZIMS_1990-2020",8,0.793927022257413,1,0,0.793927022257413,23.9190198266041,30.1274791713147
"Loxodonta africana","Female","ZIMS_1990-2020",9,0.793927022257413,0.989795384373855,0.0102046156261447,0.78728205624733,23.1250928043467,29.1274791713147
"Loxodonta africana","Female","ZIMS_1990-2020",10,0.785825302160067,0.994871794871795,0.00512820512820522,0.785825302160067,22.3378107480994,28.4259245492573
"Loxodonta africana","Female","ZIMS_1990-2020",11,0.781795428815656,0.967090585405951,0.0329094145940485,0.768187401284599,21.5519854459393,27.5672952943566
"Loxodonta africana","Female","ZIMS_1990-2020",12,0.75606699892103,0.986130262211456,0.0138697377885437,0.749373042818508,20.7837980446547,27.4893601682324
"Loxodonta africana","Female","ZIMS_1990-2020",13,0.745580547895424,0.986722488038277,0.0132775119617226,0.73858456370132,20.0344250018362,26.8709062466666
"Loxodonta africana","Female","ZIMS_1990-2020",14,0.735681093252315,0.982571056462116,0.0174289435378842,0.729265523767132,19.2958404381349,26.2285392612598
"Loxodonta africana","Female","ZIMS_1990-2020",15,0.722858949016131,0.982339871337669,0.0176601286623312,0.716716555753338,18.5665749143678,25.6849208820592
"Loxodonta africana","Female","ZIMS_1990-2020",16,0.710093166971789,0.991228070175438,0.00877192982456154,0.705266669944769,17.8498583586144,25.1373470255116
"Loxodonta africana","Female","ZIMS_1990-2020",17,0.703864279542212,0.995633187772926,0.00436681222707436,0.703864279542212,17.1445916886697,24.3578090080383
"Loxodonta africana","Female","ZIMS_1990-2020",18,0.700790636400106,0.979488248718897,0.0205117512811032,0.693689672942081,16.4407274091274,23.4602555387753
"Loxodonta africana","Female","ZIMS_1990-2020",19,0.686416193166141,0.987951029888543,0.0120489701114569,0.682536723791712,15.7470377361854,22.9409473333534
"Loxodonta africana","Female","ZIMS_1990-2020",20,0.678145584970662,0.985039670860234,0.0149603291397655,0.674308038529615,15.0645010123937,22.214258038774
"Loxodonta africana","Female","ZIMS_1990-2020",21,0.668000303814822,0.969626586139997,0.0303734138600026,0.656754477300304,14.390192973864,21.5421952530327
"Loxodonta africana","Female","ZIMS_1990-2020",22,0.647710854128447,0.990109506749177,0.00989049325082325,0.643701875331629,13.7334384965637,21.2030389934461
"Loxodonta africana","Female","ZIMS_1990-2020",23,0.641304674297205,0.993506493506494,0.00649350649350644,0.640396414059283,13.0897366212321,20.4111043406583
"Loxodonta africana","Female","ZIMS_1990-2020",24,0.63714035823034,0.970937856931342,0.0290621430686577,0.630806778488053,12.4493402071728,19.5393998298129
"Loxodonta africana","Female","ZIMS_1990-2020",25,0.618623693984634,0.980466984695495,0.0195330153045049,0.611773172708081,11.8185334286848,19.1045599184216
"Loxodonta africana","Female","ZIMS_1990-2020",26,0.606540107902303,0.986644519763866,0.0133554802361341,0.601809912544016,11.2067602559767,18.4765361926928
"Loxodonta africana","Female","ZIMS_1990-2020",27,0.598439473478791,0.9867,0.0132999999999999,0.594745798795551,10.6049503434327,17.7210074091286
"Loxodonta africana","Female","ZIMS_1990-2020",28,0.590480228481523,0.986666815807429,0.0133331841925706,0.583941664079888,10.0102045446371,16.9526498294098
"Loxodonta africana","Female","ZIMS_1990-2020",29,0.582607246833107,0.986820536358271,0.0131794636417286,0.576651339197602,9.42626288055723,16.1794466714855
"Loxodonta africana","Female","ZIMS_1990-2020",30,0.574928795806063,0.98003355704698,0.0199664429530201,0.571873990236011,8.84961154135963,15.3925348772143
"Loxodonta africana","Female","ZIMS_1990-2020",31,0.563449512802553,0.979592313806162,0.0204076861938379,0.556794363720646,8.27773755112362,14.691178824436
"Loxodonta africana","Female","ZIMS_1990-2020",32,0.551950811959207,0.993031189083821,0.0069688109161794,0.550122521697439,7.72094318740297,13.9884624138819
"Loxodonta africana","Female","ZIMS_1990-2020",33,0.548104371115632,0.978216685551661,0.0217833144483386,0.541107348931873,7.17082066570554,13.082947415854
"Loxodonta africana","Female","ZIMS_1990-2020",34,0.536164841249111,0.987903225806452,0.0120967741935483,0.530664347762287,6.62971331677366,12.3650653805056
"Loxodonta africana","Female","ZIMS_1990-2020",35,0.529678976234001,0.946738857585096,0.0532611424149043,0.515965726635365,6.09904896901138,11.5146140259812
"Loxodonta africana","Female","ZIMS_1990-2020",36,0.501467668846621,0.956378854703221,0.0436211452967787,0.492935912181648,5.58308324237601,11.133485943804
"Loxodonta africana","Female","ZIMS_1990-2020",37,0.479593074802226,0.947664082764187,0.0523359172358132,0.470675058041995,5.09014733019436,10.6134712897876
"Loxodonta africana","Female","ZIMS_1990-2020",38,0.454493131332507,0.96605871451062,0.0339412854893795,0.444945824313607,4.61947227215237,10.16400898867
"Loxodonta africana","Female","ZIMS_1990-2020",39,0.439067050208989,0.944362432589296,0.055637567410704,0.423616676556458,4.17452644783876,9.5077197112645
"Loxodonta africana","Female","ZIMS_1990-2020",40,0.414638427605167,0.959118016074208,0.040881983925792,0.405573347191143,3.7509097712823,9.04621839549818
"Loxodonta africana","Female","ZIMS_1990-2020",41,0.397687186072797,0.961895321908291,0.038104678091709,0.388737986013828,3.34533642409116,8.41197941811179
"Loxodonta africana","Female","ZIMS_1990-2020",42,0.382533443866295,0.940142083804901,0.0598579161950993,0.372614457839156,2.95659843807733,7.72899333505264
"Loxodonta africana","Female","ZIMS_1990-2020",43,0.359635789041524,0.893289171831038,0.106710828168962,0.340046483799061,2.58398398023818,7.18500232450399
"Loxodonta africana","Female","ZIMS_1990-2020",44,0.321258756153705,0.953475486073319,0.0465245139266808,0.315490302286884,2.24393749643911,6.98482906210816
"Loxodonta africana","Female","ZIMS_1990-2020",45,0.306312348678964,0.90940170940171,0.0905982905982905,0.292655809734542,1.92844719415223,6.29568870621463
"Loxodonta africana","Female","ZIMS_1990-2020",46,0.278560973499502,0.869090045141364,0.130909954858636,0.265734952995133,1.63579138441769,5.87229202952442
"Loxodonta africana","Female","ZIMS_1990-2020",47,0.242094569033304,0.927272727272727,0.0727272727272726,0.234000515665547,1.37005643142255,5.65917871224149
"Loxodonta africana","Female","ZIMS_1990-2020",48,0.224487691285428,0.91711229946524,0.0828877005347595,0.213174309206193,1.13605591575701,5.06066016026044
"Loxodonta africana","Female","ZIMS_1990-2020",49,0.205880422756422,0.782304067460317,0.217695932539683,0.186703446284426,0.922881606550815,4.4826098285347
"Loxodonta africana","Female","ZIMS_1990-2020",50,0.161061092132798,0.802453416149068,0.197546583850932,0.143789431921009,0.736178160266389,4.57080074720588
"Loxodonta africana","Female","ZIMS_1990-2020",51,0.129244023590664,0.803571428571429,0.196428571428571,0.114862367170464,0.59238872834538,4.58349029910712
"Loxodonta africana","Female","ZIMS_1990-2020",52,0.103856804671069,0.583333333333333,0.416666666666667,0.0837359767971125,0.477526361174917,4.59793041666665
"Loxodonta africana","Female","ZIMS_1990-2020",53,0.0605831360581237,1,0,0.0605831360581237,0.393790384377804,6.5
"Loxodonta africana","Female","ZIMS_1990-2020",54,0.0605831360581237,0.75,0.25,0.0605831360581237,0.33320724831968,5.5
"Loxodonta africana","Female","ZIMS_1990-2020",55,0.0454373520435928,1,0,0.0454373520435928,0.272624112261557,6
"Loxodonta africana","Female","ZIMS_1990-2020",56,0.0454373520435928,1,0,0.0454373520435928,0.227186760217964,5
"Loxodonta africana","Female","ZIMS_1990-2020",57,0.0454373520435928,1,0,0.0454373520435928,0.181749408174371,4
"Loxodonta africana","Female","ZIMS_1990-2020",58,0.0454373520435928,1,0,0.0454373520435928,0.136312056130778,3
"Loxodonta africana","Female","ZIMS_1990-2020",59,0.0454373520435928,1,0,0.0454373520435928,0.0908747040871856,2
"Loxodonta africana","Female","ZIMS_1990-2020",60,0.0454373520435928,0,1,0.0454373520435928,0.0454373520435928,1
"Loxodonta africana","Female","Amboseli",0,1,0.921881796222223,0.0781182037777772,0.957471530825687,33.2752190187593,33.2752190187593
"Loxodonta africana","Female","Amboseli",1,0.921881796222223,0.955118629815609,0.0448813701843913,0.897815152824368,32.3177474879336,35.0562812069491
"Loxodonta africana","Female","Amboseli",2,0.880506478059722,0.97911227154047,0.0208877284595301,0.870850793443922,31.4199323351092,35.6839309170626
"Loxodonta africana","Female","Amboseli",3,0.862114697839153,0.976,0.024,0.85119457833319,30.5490815416653,35.4350547766266
"Loxodonta africana","Female","Amboseli",4,0.841423945091013,0.986346201426153,0.013653798573847,0.836001310285992,29.6978869633321,35.2947965607513
"Loxodonta africana","Female","Amboseli",5,0.829935312029529,0.991689750692521,0.00831024930747915,0.826371877864305,28.8618856530461,34.7760665617024
"Loxodonta africana","Female","Amboseli",6,0.823038342677483,0.997206703910614,0.00279329608938561,0.823038342677483,28.0355137751818,34.0634358345658
"Loxodonta africana","Female","Amboseli",7,0.820739352893468,0.991596638655462,0.00840336134453767,0.817773656072088,27.2124754325043,33.156050500769
"Loxodonta africana","Female","Amboseli",8,0.813842383541422,0.994350282485876,0.00564971751412435,0.81352052497166,26.3947017764322,32.4322034711145
"Loxodonta africana","Female","Amboseli",9,0.809244403973391,1,0,0.809244403973391,25.5811812514606,31.6111932635641
"Loxodonta africana","Female","Amboseli",10,0.809244403973391,0.985795454545454,0.0142045454545455,0.802784242680308,24.7719368474872,30.6111932635641
"Loxodonta africana","Female","Amboseli",11,0.797749455053314,1,0,0.797749455053314,23.9691526048069,30.0459655007912
"Loxodonta africana","Female","Amboseli",12,0.797749455053314,0.997118155619596,0.00288184438040351,0.797749455053314,23.1714031497536,29.0459655007912
"Loxodonta africana","Female","Amboseli",13,0.795450465269299,0.994219653179191,0.00578034682080919,0.791427233147272,22.3736536947002,28.1270232045507
"Loxodonta africana","Female","Amboseli",14,0.790852485701269,0.994186046511628,0.0058139534883721,0.788507516121573,21.582226461553,27.2898256650423
